Respondent ID,Collector ID,Start Date,Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,10. Trust local council,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,27. Family Wellbeing,28. Access to Natural Environment,29. Work Travel Time,30. Basic Life Skills,31. Newlands Resident,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready,36. Vote General election 2020,37. Vote Local elections 2019,38. Satisfaction income,39. Confident in finding a new job,40. Personal mental health,41. Confident water safety,42. Optimal use of land,43. Location,44. Voted General elections 2023,45. Voted Local Elections 2022
,,,06/16/2020 07:29:53 PM,6037,55-64,Female,100,100,0,1,62,44,24,96,14,100,100,14,50,52,54,10,52,50,40,100,69,25,40,82,3,0,83,Yes,Yes,No,No,,,,,,,,,,,
,,,06/16/2020 07:12:36 PM,6037,45-54,Female,95,76,2,19,26,81,76,86,54,71,52,82,65,74,53,31,37,81,45,60,70,82,81,90,83,32,95,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,,06/16/2020 07:12:56 PM,6037,45-54,Female,100,100,0,8,50,50,50,90,91,0,98,100,84,82,9,40,95,71,30,85,91,83,94,82,89,20,82,Yes,Yes,No,,,,,,,,,,,,
,,,06/16/2020 07:05:16 PM,6037,55-64,Female,100,88,0,35,54,40,40,75,50,0,0,100,80,90,15,40,76,64,35,93,92,95,63,75,50,9,80,Yes,Yes,No,No,No,,,,,,,,,,
,,,06/16/2020 07:36:01 PM,6937,45-54,Female,100,100,1,4,48,15,19,20,6,100,0,85,50,50,70,40,52,26,23,60,71,11,16,45,56,37,95,Yes,No,No,Yes,No,,,,,,,,,,
,,,06/16/2020 07:02:27 PM,6037,55-64,Female,91,68,3,1,52,90,50,80,27,73,2,71,50,50,13,20,2,25,50,40,50,35,40,42,51,25,68,Yes,No,,,,,,,,,,,,,
,,,06/16/2020 06:54:44 PM,6037,65-74,Female,100,100,13,2,100,90,75,84,76,0,88,90,100,90,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06/16/2020 06:53:07 PM,6037,25-34,Female,100,100,79,21,85,86,55,86,41,44,77,86,49,73,100,35,47,82,50,98,100,91,85,85,98,100,82,Yes,No,No,No,Yes,,,,,,,,,,
,,,06/16/2020 06:51:58 PM,6037,65-74,Male,100,85,0,0,57,50,51,73,55,0,31,100,48,57,0,45,78,50,52,42,54,61,23,41,76,48,78,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,,06/16/2020 06:42:12 PM,6037,35-44,Female,100,60,0,0,34,53,10,80,27,26,46,100,74,84,47,38,71,0,15,36,31,34,43,48,26,40,94,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,06/16/2020 06:29:49 PM,6037,45-54,Male,100,100,3,8,0,70,45,92,90,13,88,100,82,94,10,50,69,53,53,98,81,88,79,91,71,20,95,Yes,Yes,No,Yes,No,,,,,,,,,,
,,,06/16/2020 06:17:45 PM,6037,45-54,Male,88,100,8,15,52,77,50,81,59,1,84,89,95,90,49,44,86,41,31,91,87,87,77,96,63,25,88,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
,,,06/16/2020 06:21:05 PM,6037,55-64,Male,60,100,0,0,49,65,53,80,87,68,52,100,65,100,3,62,100,0,8,100,100,52,61,100,60,6,94,Yes,No,No,,,,,,,,,,,,
,,,06/16/2020 06:13:10 PM,6037,45-54,Female,100,89,,5,50,5,,100,23,47,68,100,78,85,53,31,51,80,33,33,82,67,50,63,98,15,100,Yes,Yes,No,No,Yes,,,,,,,,,,
,,,06/16/2020 05:52:57 PM,6037,85,Female,53,100,0,0,0,33,54,77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06/16/2020 05:18:41 PM,6037,35-44,Female,100,78,0,0,100,71,29,65,42,55,40,63,66,91,52,40,74,100,80,76,66,80,87,75,55,40,79,No,,,,,,,,,,,,,,
,,,06/16/2020 05:18:11 PM,6035,35-44,Female,100,79,32,23,53,40,3,70,50,5,100,80,100,81,70,7,0,0,8,85,80,99,100,80,56,0,81,No,No,No,No,No,,,,,,,,,,
,,,06/16/2020 04:51:17 PM,6037,35-44,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,06/16/2020 04:34:23 PM,6037,35-44,Female,100,98,50,36,45,0,0,36,48,51,75,79,89,96,53,28,83,75,10,47,38,75,77,79,59,15,90,Yes,Yes,No,Yes,No,,,,,,,,,,
,,,06/16/2020 04:34:24 PM,6037,35-44,Female,100,100,25,28,91,75,70,60,53,40,52,81,81,87,87,,15,11,18,91,70,74,70,86,85,10,89,Yes,Yes,No,No,No,,,,,,,,,,
,,,06/16/2020 04:24:32 PM,6037,35-44,Female,100,100,0,44,77,85,50,72,0,0,76,57,50,80,57,0,,,24,,,,,,,,,,,,,,,,,,,,,,,
,,,06/16/2020 04:26:59 PM,6037,55-64,Female,88,99,54,12,55,43,43,63,68,49,75,75,81,79,81,40,29,41,18,40,48,65,64,72,74,25,77,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,06/16/2020 04:23:31 PM,6037,55-64,Female,100,100,,0,0,44,40,91,55,0,53,100,97,100,52,14,100,80,52,100,100,91,100,100,100,5,90,Yes,Yes,No,No,Yes,,,,,,,,,,
