Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,voted 2020 General Election?,10. Trust local council,voted 2019 Local Elections?,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,38. Satisfaction income,39. Confident in finding a new job,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,40. Personal mental health,27. Family Wellbeing,28. Access to Natural Environment,41. Confident water safety,42. Optimal use of land,29. Work Travel Time,30. Basic Life Skills,43. Location,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready
2021-11-04 15:37:SS,6037,45-54,Female,100,100,0,6,50,75,Yes,69,Yes,87,60,28,91,90,88,82,68,0,,51,54,92,75,95,93,82,68,74,84,86,42,37,25,80,"Newlands, Paparangi, Bellevue or Woodridge",Yes,No,No,
2021-11-04 14:58:SS,6037,45-54,Female,100,100,0,0,51,50,Yes,50,Yes,100,52,50,90,100,86,80,50,40,80,99,99,50,30,50,50,50,99,98,73,71,76,49,40,99,Johnsonville,Yes,No,Yes,Yes
2021-11-04 10:22:SS,6037,35-44,Male,100,82,51,10,50,25,Yes,50,Yes,79,25,50,100,75,75,75,80,40,80,80,50,50,50,100,100,80,100,60,65,100,40,50,25,100,Johnsonville,Yes,Yes,Yes,Yes
2021-11-04 07:19:SS,6037,35-44,Female,100,50,50,0,0,50,No,50,No,100,60,50,50,50,60,100,60,40,65,40,50,60,20,50,80,70,50,65,70,50,50,50,30,75,Johnsonville,Yes,No,Yes,Yes
2021-11-03 22:41:SS,6037,25-34,Female,100,78,50,20,50,70,Yes,50,Yes,100,70,0,50,42,45,60,33,40,80,50,100,0,10,50,50,75,70,50,50,90,98,100,20,97,Johnsonville,No,,Yes,No
2021-11-03 19:43:SS,6037,45-54,Female,100,100,50,10,50,70,Yes,50,Yes,85,70,52,99,99,90,95,90,40,65,40,80,90,60,98,98,90,75,75,50,50,10,80,30,90,Johnsonville,No,No,Yes,Yes
2021-11-03 19:13:SS,6037,35-44,Female,100,75,8,39,50,54,Yes,45,Yes,90,50,2,100,90,94,76,60,21,90,90,70,70,30,90,90,66,71,74,75,95,80,50,0,90,Johnsonville,No,No,No,
2021-11-03 16:11:SS,6037,65-74,Male,98,98,52,9,75,53,Yes,33,Yes,64,66,5,72,90,85,90,64,0,,,65,98,96,99,99,95,95,95,85,90,95,50,,95,Johnsonville,Yes,No,No,
2021-11-03 13:14:SS,6037,35-44,Female,0,44,0,0,52,85,Yes,85,No,90,90,1,100,82,99,99,30,10,90,70,45,74,40,80,85,90,100,99,95,100,81,71,10,80,Johnsonville,Yes,No,No,
2021-11-03 12:50:SS,6037,35-44,Female,100,100,2,0,50,74,Yes,52,Yes,90,79,1,49,98,14,84,1,40,92,79,70,73,40,99,98,77,78,71,73,74,48,56,50,98,Johnsonville,Yes,No,Yes,Yes
2021-11-03 12:30:SS,6037,35-44,Female,100,86,49,10,50,54,Yes,55,No,70,60,,88,72,100,86,79,11,100,81,50,85,55,82,87,79,94,77,77,92,32,22,5,85,Johnsonville,No,No,No,No
2021-11-03 12:00:SS,6037,75-84,Female,100,100,50,0,33,73,,64,,94,89,0,65,53,76,83,29,0,,,0,,75,73,79,52,41,68,68,100,99,72,,80,Johnsonville,No,,No,
2021-11-03 10:27:SS,6037,45-54,Female,100,100,1,23,28,63,Yes,70,Yes,76,60,0,80,76,69,64,53,80,75,51,55,60,40,75,76,59,67,83,76,86,85,62,50,74,Johnsonville,Yes,No,Yes,Yes
2021-11-03 11:04:SS,6037,65-74,Female,100,90,55,30,58,71,Yes,39,Yes,95,55,55,30,100,90,75,40,0,,,,,100,52,67,75,79,79,89,95,89,32,,93,Johnsonville,No,,No,No
2021-11-03 11:04:SS,6037,35-44,Female,100,87,48,0,72,90,No,64,No,86,74,52,60,44,14,53,90,19,87,67,55,44,27,60,68,74,87,53,64,79,2,64,53,100,Johnsonville,No,No,Yes,No
2021-11-03 10:55:SS,6037,45-54,Female,100,80,1,1,0,50,Yes,50,No,85,61,82,96,100,77,92,62,31,90,55,61,91,46,90,91,75,100,100,100,100,86,61,60,80,Johnsonville,Yes,No,Yes,Yes
2021-11-03 10:47:SS,6037,45-54,Female,98,51,49,11,51,75,Yes,51,No,95,80,35,25,90,49,91,69,32,80,90,80,25,3,41,50,24,50,60,20,80,85,20,45,90,Johnsonville,No,No,No,No
2021-11-03 10:47:SS,6037,45-54,Male,100,50,0,0,51,0,Yes,1,No,0,76,100,100,100,24,100,0,40,99,85,63,49,10,,,,,,,,,,,,,,,,
2021-11-03 10:38:SS,6037,35-44,Female,100,67,2,15,50,56,Yes,32,Yes,69,73,29,15,70,75,39,51,38,41,65,43,32,53,100,100,46,46,29,69,85,40,23,30,100,Johnsonville,No,No,Yes,Yes
2021-11-03 10:27:SS,6037,45-54,Female,100,75,,13,80,100,Yes,34,Yes,85,75,0,62,77,71,79,43,38,62,87,88,90,75,100,100,91,86,88,84,84,35,33,60,100,Johnsonville,Yes,No,Yes,Yes
2021-11-03 10:08:SS,6037,35-44,Female,100,52,0,6,13,0,Yes,1,Yes,13,71,84,0,13,21,4,21,23,54,76,2,29,48,24,32,2,16,14,68,21,5,6,4,57,Johnsonville,No,No,Yes,Yes
2021-11-03 10:03:SS,6037,35-44,Female,100,93,12,19,16,60,Yes,10,Yes,100,66,0,4,76,14,75,38,30,17,38,76,49,40,77,70,66,61,26,48,85,73,67,10,73,"Newlands, Paparangi, Bellevue or Woodridge",No,No,Yes,No
2021-11-03 10:03:SS,6037,25-34,Female,100,48,3,28,8,0,No,4,No,77,16,5,4,55,41,33,64,70,10,21,59,26,8,37,72,27,8,10,67,100,56,44,31,100,Johnsonville,Yes,Yes,Yes,Yes
2021-11-03 10:05:SS,6037,35-44,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-03 07:23:SS,6037,55-64,Do not wish to state,4,3,0,0,0,1,Yes,0,Yes,3,0,6,,100,50,100,100,0,0,0,0,49,50,,,,,,,,,,,,,,,,
2021-11-03 06:42:SS,6037,45-54,Female,100,100,75,54,96,80,Yes,80,Yes,90,90,85,53,94,100,95,98,40,50,97,100,41,77,100,95,70,95,80,90,100,70,75,16,100,Johnsonville,Yes,No,Yes,No
