date,age_range,gender,language,belonging,cultural_activities,te_reo,cultural_knowledge,trust_nz_government,trust_local_council,trust_nz_police,safety,discrimination,loneliness,independence,support_in_crisis,level_of_control,volunteering_time,paid_working_hours,job_satisfaction,work_life_balance,leisure_time,be_yourself_in_nz,be_yourself_in_newlands,life_satisfaction,meaning_and_purpose,family_wellbeing,access_to_natural_environment,work_travel_time,basic_life_skills,newlands_resident,home_disaster_ready,neighbourhood_support_group,out_of_newlands_during_day,place_out_of_newlands_disaster_ready,satisfaction_income,confident_in_finding_a_new_job,confident_water_safety,optimal_use_of_land,personal_mental_health,vote_local_elections_2019,vote_general_election_2020,voted_local_elections_2022,voted_general_elections_2023
3-Nov-19,35-44,Female,100,100,100,0,50,49,42,100,50,100,0,100,51,50,100,31,,,31,31,37,41,47,61,50,50,65,1,0,,,,66,57,69,55,74,,,,
3-Nov-19,45-54,Male,100,100,50,0,0,14,15,100,50,50,100,100,100,100,50,15,100,100,50,50,50,50,50,100,50,35,50,1,1,0,,,66,57,69,55,74,,,,
2-Nov-19,45-54,Male,100,100,0,0,,70,50,100,100,0,100,100,100,100,50,50,94,50,50,50,95,50,50,90,70,30,80,0,,,,,66,57,69,55,74,,,,
2-Nov-19,35-44,Female,100,100,,0,100,100,100,100,50,45,50,100,100,100,100,45,100,100,50,100,100,50,50,100,100,25,75,1,0,0,1,1,66,57,69,55,74,,,,
2-Nov-19,35-44,Female,100,100,0,0,100,100,100,50,100,0,50,0,50,50,100,0,50,50,50,0,50,49,50,50,0,0,50,1,0,0,0,,66,57,69,55,74,,,,
2-Nov-19,35-44,Female,100,100,100,0,100,0,20,20,20,60,90,100,100,100,60,25,40,25,25,60,90,80,84,88,59,40,97,1,1,1,1,0,66,57,69,55,74,,,,
2-Nov-19,45-54,Female,100,100,0,0,0,50,50,75,0,0,0,100,25,50,60,0,,,20,50,50,30,30,80,50,,60,0,0,0,1,0,66,57,69,55,74,,,,
2-Nov-19,55-64,Male,100,100,50,0,60,25,15,75,65,0,75,95,25,60,50,45,95,75,50,70,70,80,80,80,80,50,85,1,0,1,1,1,66,57,69,55,74,,,,
2-Nov-19,45-54,Male,100,100,50,0,50,100,,100,100,0,100,100,50,50,100,50,50,0,50,100,100,50,50,100,100,50,50,1,0,0,1,0,66,57,69,55,74,,,,
2-Nov-19,35-44,Female,100,100,0,0,50,40,0,100,50,0,100,100,100,100,100,20,50,50,25,50,49,50,51,100,50,10,50,1,1,0,1,1,66,57,69,55,74,,,,
2-Nov-19,45-54,Male,100,100,100,0,49,49,40,80,100,0,100,100,100,100,50,30,50,100,50,100,100,100,100,100,100,5,50,1,0,,1,1,66,57,69,55,74,,,,
